//粤联频道数据收集自网络上的分享240922开通IPV6

港澳U074,#genre#

凤凰中文,http://xubo0712.asuscomm.cn:9999/rtp/239.93.0.162:2192$乐信#http://222.212.152.220:4443/rtp/239.93.0.162:2192$成信#http://222.212.152.220:4443/rtp/239.93.1.9:2192$成信#http://171.212.235.244:17777/rtp/239.93.0.162:2192$成都信#http://171.212.235.244:17777/rtp/239.93.1.9:2192$成都信#http://171.212.235.245:17777/rtp/239.93.0.162:2192$成电信#http://171.212.235.245:17777/rtp/239.93.1.9:2192$成电信#http://171.213.197.170:4022/rtp/239.93.0.162:2192$四川cmc#http://171.213.197.170:4022/rtp/239.93.1.9:2192$四川cmc#http://171.213.199.78:8088/rtp/239.93.0.162:2192$四川cmc#http://171.213.199.78:8088/rtp/239.93.1.9:2192$四川cmc#http://171.213.218.183:888/rtp/239.93.0.162:2192$四川cmc#http://171.213.218.183:888/rtp/239.93.1.9:2192$四川cmc#http://171.223.215.229:4000/rtp/239.93.0.162:2192$四川cmc#http://171.223.215.229:4000/rtp/239.93.1.9:2192$四川cmc#http://175.9.162.72:9999/rtp/239.76.246.7:1234$湖南cmc#http://175.9.162.75:9999/rtp/239.76.246.7:1234$湖南cmc#http://118.250.37.17:8888/rtp/239.76.246.7:1234$湖南cmc

凤凰资讯,http://xubo0712.asuscomm.cn:9999/rtp/239.93.0.118:2191$乐信#http://222.212.152.220:4443/rtp/239.93.0.118:2191$成信#http://222.212.152.220:4443/rtp/239.93.1.4:2191$成信#http://171.212.235.244:17777/rtp/239.93.0.118:2191$成都信#http://171.212.235.244:17777/rtp/239.93.1.4:2191$成都信#http://171.212.235.245:17777/rtp/239.93.0.118:2191$成电信#http://171.212.235.245:17777/rtp/239.93.1.4:2191$成电信#http://171.213.197.170:4022/rtp/239.93.0.118:2191$四川cmc#http://171.213.197.170:4022/rtp/239.93.1.4:2191$四川cmc#http://171.213.199.78:8088/rtp/239.93.0.118:2191$四川cmc#http://171.213.199.78:8088/rtp/239.93.1.4:2191$四川cmc#http://171.213.218.183:888/rtp/239.93.0.118:2191$四川cmc#http://171.213.218.183:888/rtp/239.93.1.4:2191$四川cmc#http://171.223.215.229:4000/rtp/239.93.0.118:2191$四川cmc#http://171.223.215.229:4000/rtp/239.93.1.4:2191$四川cmc#http://175.9.162.72:9999/rtp/239.76.246.8:1234$湖南cmc#http://175.9.162.75:9999/rtp/239.76.246.8:1234$湖南cmc#http://118.250.37.17:8888/rtp/239.76.246.8:1234$湖南cmc

凤凰资讯,http://175.9.162.72:9999/rtp/239.76.246.134:1234$长信
凤凰中文,http://175.9.162.72:9999/rtp/239.76.246.135:1234$长信

凤凰中文,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw$php
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx$php

凤凰中文,https://dl.zhoujie218.top/new/fhx.php?id=fhzw$上阿里
凤凰资讯,https://dl.zhoujie218.top/new/fhx.php?id=fhzx$上阿里

凤凰中文,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukruupu001-golive.flv$ali
凤凰资讯,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukruupu002-golive.flv$ali

凤凰中文,http://58.250.155.2:8180/TV00000000000000000031@HHZT$深联
凤凰中文,http://182.104.192.98:8180/TV00000000000000000008@HHZT$赣信

凤凰资讯,http://183.234.238.18:8926/live1128.m3u8$183

凤凰中文,https://shenxian.serv00.net/fhx.php?id=zw$shen
凤凰资讯,https://shenxian.serv00.net/fhx.php?id=zx$shen

凤凰中文,http://s.cdhongyuan.cn:4022/udp/239.93.1.9:2192$s
凤凰中文,http://s.cdhongyuan.cn:4022/udp/239.93.0.162:2192$s

凤凰中文,http://wouu.net:9977/udp/239.93.0.162:2192$wo
凤凰中文,http://wouu.net:9977/udp/239.93.1.9:2192$wo
